Travel Start Date,Travel End Date,Origin City,Destination City,Segment Count,Distance,CO2 Emission,Air Expense,Mode
2022-05-24,2022-05-24,Frankfurt,Paris,1,570.24,3.42144,169.09,Train
2023-11-14,2023-11-14,Frankfurt,Paris,1,241.4,1.44841,96.5,Train
2023-11-14,2023-11-14,Frankfurt,Paris,1,241.4,1.44841,96.5,Train
2020-01-22,2020-01-22,Paris,London,1,449.75,2.69848,260.0,Train
2022-05-25,2022-05-25,Paris,London,1,449.75,2.69848,263.0,Train
2022-01-07,2022-01-07,Paris,London,1,449.75,2.69848,266.0,Train
2023-02-02,2023-02-02,Paris,London,1,449.75,2.69848,273.3,Train
2020-01-22,2020-01-22,Paris,London,1,449.75,2.69848,260.0,Train
2023-11-16,2023-11-16,Paris,London,1,449.75,2.69848,289.2,Train
2020-01-28,2020-01-28,Paris,London,1,449.75,2.69848,74.0,Train
2023-11-16,2023-11-16,Paris,London,1,449.75,2.69848,135.2,Train
2023-03-17,2023-03-17,Paris,London,1,449.75,2.69848,295.3,Train
2022-09-16,2022-09-16,Paris,London,1,449.75,2.69848,269.0,Train
2023-07-20,2023-07-20,Paris,London,1,449.75,2.69848,284.1,Train
2020-03-24,2020-03-25,Glasgow,London,4,2581.67,106.10669,151.1,Train
2021-11-16,2021-11-17,Glasgow,London,2,1290.84,53.05335,155.0,Train
2020-12-11,2020-11-13,London,London,3,955.59,39.27482,337.0,Train
2020-02-17,2020-02-17,London,London,3,949.0,39.00387,230.8,Train
2020-07-10,2020-07-10,London,London,3,955.59,39.27482,184.5,Train
2023-04-26,2023-04-26,London,London,3,526.27,21.62983,82.0,Train
2023-04-26,2023-04-26,London,London,3,526.27,21.62983,82.0,Train
2021-05-08,2021-05-08,London,London,6,1615.93,66.4146,126.4,Train
2023-11-19,2023-11-21,London,London,3,955.59,39.27482,74.0,Train
2022-03-29,2022-03-29,London,London,3,52.35,2.15167,19.6,Train
2022-10-03,2022-10-03,London,London,3,274.55,11.28413,35.5,Train
2020-03-16,2020-03-16,London,London,2,38.36,1.57672,19.1,Train
2022-09-28,2022-09-30,London,London,3,659.45,27.10325,253.0,Train
2023-07-31,2023-02-08,London,London,3,118.42,4.86689,40.4,Train
2022-03-02,2022-03-02,London,Paris,2,910.87,5.46522,436.0,Train
2022-10-18,2022-10-20,London,Paris,2,910.87,5.46522,436.0,Train
2022-10-18,2022-10-20,London,Paris,2,910.87,5.46522,436.0,Train
2022-04-01,2022-05-01,London,Paris,2,910.87,5.46522,436.0,Train
2020-05-03,2020-05-03,London,Paris,2,910.87,5.46522,426.0,Train
2020-01-28,2020-01-28,London,Paris,1,461.12,18.95217,103.0,Train
2021-10-12,2021-10-12,London,Paris,2,910.87,5.46522,436.0,Train
2020-01-20,2020-01-22,London,Paris,2,910.87,5.46522,259.0,Train
2020-01-20,2020-01-23,London,Paris,2,910.87,5.46522,426.0,Train
2023-02-24,2023-02-24,London,Paris,2,910.87,5.46522,488.0,Train
2023-01-02,2023-02-02,London,Paris,2,910.87,5.46522,436.0,Train
2022-03-11,2022-04-11,London,Paris,2,910.87,5.46522,436.0,Train
2022-10-03,2022-11-03,London,Paris,2,910.87,5.46522,436.0,Train
2023-01-02,2023-02-02,London,Paris,2,910.87,5.46522,369.0,Train
2021-05-10,2021-05-10,London,Paris,1,461.12,18.95217,200.0,Train
2020-01-28,2020-01-28,London,Paris,2,877.2,5.26323,244.0,Train
2023-01-17,2023-01-17,London,Paris,1,461.12,18.95217,245.0,Train
2022-11-24,2022-11-24,London,Paris,2,922.25,37.90434,230.0,Train
2023-09-05,2023-12-05,London,Paris,2,910.87,5.46522,488.0,Train
2021-11-10,2021-10-15,London,Paris,2,910.87,5.46522,449.0,Train
2020-10-02,2020-10-02,Manchester,London,1,318.47,13.08892,183.0,Train
2020-03-03,2020-03-03,Manchester,London,4,1274.25,52.37181,259.0,Train
2020-01-28,2020-01-28,Manchester,London,2,637.13,26.1859,198.05,Train
2023-07-13,2023-07-13,Manchester,London,1,318.47,13.08892,43.0,Train
2022-05-25,2022-05-25,Manchester,London,1,318.47,13.08892,161.9,Train
2020-02-18,2020-02-18,Manchester,London,2,637.13,26.1859,245.0,Train
2020-05-03,2020-05-03,Manchester,London,1,318.47,13.08892,91.1,Train
2020-05-03,2020-05-03,Manchester,London,1,318.47,13.08892,91.1,Train
2023-10-01,2023-10-01,Manchester,London,2,636.93,26.17784,68.6,Train
2022-10-17,2022-10-17,Manchester,London,1,318.47,13.08892,184.7,Train
2022-02-03,2022-02-03,Manchester,London,2,637.13,26.1859,369.4,Train
2023-09-10,2023-09-10,Manchester,London,1,318.47,13.08892,47.0,Train
2020-01-15,2020-01-15,Manchester,London,2,637.13,26.1859,174.05,Train
2022-12-07,2022-12-07,Manchester,London,2,637.13,26.1859,369.4,Train
2022-04-10,2022-04-10,Manchester,London,2,637.13,26.1859,98.1,Train
2023-10-01,2023-10-01,Manchester,London,2,636.93,26.17784,68.6,Train
2020-06-02,2020-06-02,Manchester,London,2,637.13,26.1859,245.0,Train
2023-01-17,2023-01-17,Paris,Frankfurt,1,569.34,3.41604,79.72,Train
2022-07-21,2022-07-21,London,Paris,1,461.12,2.76674,600.0,Train
2020-01-30,2020-01-30,London,London,2,50.73,2.08483,19.1,Train
2020-02-26,2020-02-26,London,London,2,50.73,2.08483,19.0,Train
4/13/20,4/13/20,London,Frankfurt,1,654.15,159.81,170.54,Air
2023-09-05 00:00:00,2023-11-05 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,476.97,Air
2023-12-10 00:00:00,2023-12-10 00:00:00,Frankfurt,London,1,620.88,169.24,183.7,Air
10/16/23,10/16/23,London,Frankfurt,1,620.88,169.24,249.12,Air
2023-04-09 00:00:00,2023-04-09 00:00:00,London,Frankfurt,1,620.88,169.24,249.12,Air
2023-10-07 00:00:00,2023-10-07 00:00:00,London,Frankfurt,1,620.88,169.24,249.12,Air
8/21/23,8/21/23,London,Frankfurt,1,620.88,169.24,219.12,Air
9/25/23,9/25/23,London,Frankfurt,1,620.88,169.24,249.12,Air
8/29/23,8/29/23,London,Frankfurt,1,620.88,169.24,188.12,Air
8/14/23,8/14/23,London,Frankfurt,1,620.88,169.24,219.12,Air
9/13/23,9/13/23,Frankfurt,London,1,620.88,169.24,120.0,Air
2023-01-09 00:00:00,2023-01-09 00:00:00,Frankfurt,London,1,620.88,169.24,211.8,Air
10/27/23,10/27/23,Frankfurt,London,1,620.88,169.24,215.8,Air
2023-07-08 00:00:00,2023-07-08 00:00:00,London,Frankfurt,1,620.88,169.24,219.12,Air
2023-05-07 00:00:00,2023-05-07 00:00:00,London,Frankfurt,1,620.88,169.24,188.12,Air
2023-04-10 00:00:00,2023-04-10 00:00:00,Frankfurt,London,1,620.88,169.24,120.5,Air
7/24/23,7/24/23,London,Frankfurt,1,620.88,169.24,219.12,Air
9/18/23,9/18/23,London,Frankfurt,1,620.88,169.24,249.12,Air
10/24/23,10/24/23,London,Frankfurt,1,620.88,169.24,188.12,Air
10/19/23,10/19/23,Frankfurt,London,1,620.88,169.24,151.4,Air
8/25/23,8/25/23,Frankfurt,London,1,620.88,169.24,240.8,Air
7/18/23,7/18/23,Frankfurt,London,1,620.88,169.24,149.8,Air
2023-07-07 00:00:00,2023-07-07 00:00:00,Frankfurt,London,1,620.88,169.24,242.1,Air
9/22/23,9/22/23,Frankfurt,London,1,620.88,169.24,242.1,Air
2023-02-08 00:00:00,2023-02-08 00:00:00,Frankfurt,London,1,620.88,169.24,120.5,Air
2023-11-08 00:00:00,2023-11-08 00:00:00,Frankfurt,London,1,620.88,169.24,213.2,Air
8/18/23,8/18/23,Frankfurt,London,1,620.88,169.24,214.4,Air
1/19/20,1/22/20,Manchester,Paris,2,1182.04,288.77,212.54,Air
2/17/20,2/17/20,Manchester,Paris,1,591.02,144.39,153.54,Air
9/13/23,9/15/23,Manchester,Paris,2,1182.04,322.2,165.28,Air
2023-10-05 00:00:00,2023-12-05 00:00:00,Manchester,Paris,2,1182.04,322.2,197.25,Air
2022-03-07 00:00:00,2022-03-07 00:00:00,Manchester,Paris,1,591.02,145.31,219.3,Air
8/22/22,8/25/22,Manchester,Frankfurt,2,1665.56,314.41,983.8,Air
12/13/23,12/15/23,Glasgow,London,2,1109.97,302.56,395.03,Air
2023-10-05 00:00:00,2023-11-05 00:00:00,Manchester,Frankfurt,3,1674.06,381.61,558.77,Air
2023-10-07 00:00:00,2023-11-07 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,520.77,Air
10/22/23,10/26/23,Manchester,Frankfurt,2,1665.56,304.58,696.07,Air
8/13/23,8/15/23,Manchester,Frankfurt,2,1665.56,304.58,445.77,Air
11/21/22,11/23/22,London,Frankfurt,2,1308.3,321.67,211.87,Air
11/21/23,11/23/23,Manchester,Frankfurt,2,1665.56,304.58,439.78,Air
2022-09-08 00:00:00,2022-11-08 00:00:00,Manchester,Frankfurt,2,1665.56,314.41,983.4,Air
2023-06-06 00:00:00,2023-08-06 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,484.97,Air
5/17/22,5/19/22,Manchester,Frankfurt,2,1665.56,251.53,473.87,Air
10/24/22,10/26/22,Manchester,Frankfurt,2,1665.56,251.53,606.2,Air
9/20/22,9/23/22,Manchester,Frankfurt,2,1665.56,251.53,544.2,Air
2022-11-10 00:00:00,10/13/22,Manchester,Frankfurt,2,1665.56,314.41,477.9,Air
2023-10-10 00:00:00,2023-10-10 00:00:00,Manchester,Frankfurt,1,832.78,152.29,227.67,Air
10/17/23,10/19/23,Manchester,Frankfurt,2,1665.56,304.58,446.27,Air
7/18/23,7/20/23,Manchester,Frankfurt,2,1665.56,304.58,445.17,Air
9/26/23,9/28/23,Manchester,Frankfurt,2,1665.56,304.58,520.07,Air
2022-06-12 00:00:00,2022-08-12 00:00:00,Manchester,Frankfurt,2,1665.56,251.53,562.98,Air
2/21/23,2/23/23,Manchester,Frankfurt,2,1665.56,304.58,477.88,Air
2023-04-07 00:00:00,2023-06-07 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,445.77,Air
7/25/23,7/27/23,Manchester,Frankfurt,2,1665.56,304.58,619.17,Air
12/13/22,12/15/22,Manchester,Frankfurt,2,1665.56,251.53,393.78,Air
6/28/22,6/30/22,Manchester,Frankfurt,2,1665.56,251.53,453.0,Air
8/16/23,8/18/23,Manchester,Frankfurt,2,1665.56,304.58,445.37,Air
5/30/23,2023-01-06 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,405.77,Air
8/29/23,8/31/23,Manchester,Frankfurt,2,1665.56,304.58,619.17,Air
5/23/23,5/25/23,Manchester,Frankfurt,2,1665.56,304.58,575.37,Air
2023-11-04 00:00:00,4/13/23,Manchester,Frankfurt,2,1665.56,304.58,490.27,Air
2023-04-04 00:00:00,2023-06-04 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,570.77,Air
2022-05-04 00:00:00,2022-07-04 00:00:00,Manchester,Frankfurt,2,1665.56,251.53,466.88,Air
2023-02-05 00:00:00,2023-04-05 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,406.87,Air
3/21/23,3/23/23,Manchester,Frankfurt,2,1665.56,304.58,428.28,Air
4/25/23,4/27/23,Manchester,Frankfurt,2,1665.56,304.58,479.68,Air
2023-09-05 00:00:00,2023-11-05 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,407.37,Air
2022-08-11 00:00:00,2022-10-11 00:00:00,Manchester,Frankfurt,2,1665.56,251.53,563.18,Air
2023-07-03 00:00:00,2023-09-03 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,397.28,Air
2023-03-10 00:00:00,2023-05-10 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,445.47,Air
9/19/23,9/21/23,Manchester,Frankfurt,2,1665.56,304.58,564.67,Air
2023-07-11 00:00:00,2023-09-11 00:00:00,Manchester,Frankfurt,2,1665.56,380.72,597.68,Air
1/24/23,1/26/23,Manchester,Frankfurt,2,1665.56,304.58,397.58,Air
2023-09-01 00:00:00,2023-11-01 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,397.58,Air
8/22/23,8/24/23,Manchester,Frankfurt,2,1665.56,304.58,445.87,Air
2023-07-02 00:00:00,2023-09-02 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,397.08,Air
10/25/23,10/27/23,Manchester,Frankfurt,2,1665.56,304.58,521.77,Air
2023-11-07 00:00:00,7/13/23,Manchester,Frankfurt,2,1665.56,304.58,520.67,Air
6/27/23,6/29/23,Manchester,Frankfurt,2,1665.56,304.58,456.67,Air
11/22/22,11/24/22,Manchester,Frankfurt,2,1665.56,251.53,395.08,Air
2/13/23,2/15/23,Manchester,Frankfurt,2,1665.56,304.58,397.08,Air
2023-12-09 00:00:00,9/14/23,Manchester,Frankfurt,2,1665.56,304.58,444.97,Air
11/14/23,11/16/23,Manchester,Frankfurt,2,1665.56,304.58,440.48,Air
6/13/23,6/15/23,Manchester,Frankfurt,2,1665.56,304.58,484.97,Air
11/28/23,11/30/23,Manchester,Frankfurt,2,1665.56,304.58,515.68,Air
9/18/23,9/21/23,Manchester,Frankfurt,2,1665.56,304.58,266.47,Air
2023-12-06 00:00:00,6/14/23,Manchester,Frankfurt,2,1665.56,304.58,406.07,Air
8/21/23,8/21/23,Manchester,Frankfurt,1,832.78,152.29,199.07,Air
6/26/23,6/29/23,Manchester,Frankfurt,2,1665.56,304.58,535.17,Air
2023-03-07 00:00:00,2023-06-07 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,496.87,Air
2023-10-07 00:00:00,7/13/23,Manchester,Frankfurt,2,1665.56,304.58,496.87,Air
2023-06-03 00:00:00,2023-08-03 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,397.28,Air
3/13/23,3/15/23,Manchester,Frankfurt,2,1665.56,304.58,397.38,Air
2023-07-08 00:00:00,2023-10-08 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,496.97,Air
7/31/23,2023-03-08 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,572.07,Air
2023-11-09 00:00:00,9/14/23,Manchester,Frankfurt,2,1665.56,304.58,266.37,Air
10/23/23,10/25/23,Manchester,Frankfurt,2,1665.56,304.58,445.87,Air
10/16/23,10/18/23,Manchester,Frankfurt,2,1665.56,304.58,445.87,Air
4/24/23,4/27/23,Manchester,Frankfurt,2,1665.56,304.58,545.71,Air
2023-03-04 00:00:00,2023-06-04 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,400.81,Air
3/20/23,3/23/23,Manchester,Frankfurt,2,1665.56,304.58,428.38,Air
2023-06-11 00:00:00,2023-06-11 00:00:00,Manchester,Frankfurt,1,832.78,152.29,227.58,Air
11/27/23,11/27/23,Manchester,Frankfurt,1,832.78,152.29,207.08,Air
11/13/23,11/13/23,Manchester,Frankfurt,1,832.78,152.29,227.58,Air
11/20/23,11/20/23,Manchester,Frankfurt,1,832.78,152.29,227.58,Air
6/19/23,6/21/23,Manchester,Frankfurt,2,1665.56,304.58,484.97,Air
7/17/23,7/20/23,Manchester,Frankfurt,2,1665.56,304.58,571.57,Air
8/14/23,8/17/23,Manchester,Frankfurt,2,1665.56,304.58,444.97,Air
5/30/23,5/31/23,Manchester,Frankfurt,2,1665.56,304.58,437.87,Air
2023-04-12 00:00:00,2023-04-12 00:00:00,Manchester,Frankfurt,1,832.78,152.29,207.08,Air
8/21/23,8/24/23,Manchester,Frankfurt,2,1665.56,304.58,444.97,Air
7/24/23,7/27/23,Manchester,Frankfurt,2,1665.56,304.58,572.07,Air
8/28/23,2023-07-09 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,444.97,Air
9/25/23,9/28/23,Manchester,Frankfurt,2,1665.56,304.58,325.77,Air
2023-01-05 00:00:00,2023-03-05 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,486.27,Air
5/22/23,5/24/23,Manchester,Frankfurt,2,1665.56,304.58,406.87,Air
5/15/23,5/17/23,Manchester,Frankfurt,2,1665.56,304.58,406.87,Air
4/17/23,4/19/23,Manchester,Frankfurt,2,1665.56,304.58,431.81,Air
2/27/23,2023-01-03 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,397.88,Air
2023-09-10 00:00:00,2023-11-10 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,445.47,Air
2023-02-10 00:00:00,2023-04-10 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,445.47,Air
2023-05-06 00:00:00,2023-07-06 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,406.07,Air
2023-02-10 00:00:00,2023-06-10 00:00:00,London,Frankfurt,2,1308.3,356.62,263.38,Air
9/25/23,9/28/23,London,Frankfurt,2,1308.3,356.62,288.98,Air
2023-09-10 00:00:00,2023-12-10 00:00:00,London,Frankfurt,2,1308.3,356.62,252.78,Air
11/24/21,11/27/21,Manchester,Paris,2,1182.04,290.63,99.98,Air
1/20/20,1/22/20,Manchester,Paris,2,1182.04,288.77,111.08,Air
2021-05-10 00:00:00,2021-06-10 00:00:00,Manchester,Frankfurt,2,1665.56,251.53,446.37,Air
2023-01-02 00:00:00,2023-01-02 00:00:00,Manchester,Paris,1,591.02,161.1,215.48,Air
11/28/23,2023-07-12 00:00:00,Glasgow,Frankfurt,2,2166.39,396.17,412.87,Air
5/22/23,5/26/23,Glasgow,Frankfurt,2,2166.39,396.17,878.07,Air
4/17/23,4/27/23,Glasgow,Frankfurt,2,2166.39,396.17,453.37,Air
2023-11-12 00:00:00,12/15/23,Glasgow,Frankfurt,2,2166.39,396.17,347.27,Air
11/13/23,11/23/23,Glasgow,Frankfurt,2,2166.39,396.17,497.67,Air
5/15/23,5/18/23,Glasgow,Frankfurt,2,2166.39,396.17,622.97,Air
2023-04-09 00:00:00,9/14/23,Glasgow,Frankfurt,2,2166.39,396.17,531.17,Air
2023-12-06 00:00:00,6/15/23,Glasgow,Frankfurt,2,2166.39,396.17,591.57,Air
10/26/22,10/28/22,Glasgow,London,2,1109.97,272.91,292.89,Air
12/18/23,12/21/23,Glasgow,Frankfurt,2,2166.39,396.17,322.47,Air
9/27/23,2023-05-10 00:00:00,Glasgow,Frankfurt,2,2166.39,396.17,411.87,Air
2023-08-05 00:00:00,2023-12-05 00:00:00,Glasgow,Frankfurt,2,2166.39,396.17,453.57,Air
2023-12-10 00:00:00,10/20/23,Glasgow,Frankfurt,2,2166.39,396.17,452.57,Air
10/31/23,10/31/23,Glasgow,Frankfurt,1,1083.2,198.08,251.27,Air
9/18/23,9/21/23,Glasgow,Frankfurt,2,2166.39,396.17,451.57,Air
2/27/23,2023-03-03 00:00:00,Glasgow,Frankfurt,2,2166.39,396.17,374.67,Air
8/21/23,8/30/23,Glasgow,Frankfurt,2,2166.39,396.17,365.87,Air
2023-06-03 00:00:00,3/16/23,Glasgow,Frankfurt,2,2166.39,396.17,413.77,Air
2023-01-05 00:00:00,2023-05-05 00:00:00,Glasgow,Frankfurt,2,2166.39,396.17,454.17,Air
3/20/23,3/24/23,Glasgow,Frankfurt,2,2166.39,396.17,413.97,Air
3/28/23,2023-06-04 00:00:00,Glasgow,Frankfurt,2,2166.39,396.17,454.17,Air
3/28/23,3/30/23,Manchester,Frankfurt,2,1665.56,304.58,396.98,Air
4/25/23,4/26/23,London,Frankfurt,2,1308.3,356.62,355.28,Air
11/26/22,11/26/22,Paris,London,1,348.74,85.75,236.4,Air
2/14/23,2/16/23,London,Frankfurt,2,1308.3,356.62,308.78,Air
2023-03-04 00:00:00,2023-04-04 00:00:00,London,Frankfurt,2,1308.3,356.62,294.68,Air
9/26/22,9/28/22,London,Frankfurt,2,1308.3,321.67,545.87,Air
5/15/23,5/17/23,London,Frankfurt,2,1308.3,356.62,469.48,Air
9/13/22,9/15/22,London,Frankfurt,2,1308.3,321.67,458.87,Air
2022-08-11 00:00:00,2022-11-11 00:00:00,London,Frankfurt,2,1308.3,321.67,258.27,Air
3/21/23,3/23/23,London,Frankfurt,2,1308.3,356.62,330.68,Air
11/22/22,11/23/22,London,Frankfurt,2,1102.98,271.19,358.27,Air
3/13/23,3/15/23,London,Frankfurt,2,1308.3,356.62,330.98,Air
3/20/20,3/20/20,Manchester,Paris,2,1164.69,284.53,508.64,Air
10/25/22,10/27/22,London,Frankfurt,2,1308.3,321.67,389.77,Air
6/26/23,6/28/23,London,Frankfurt,2,1308.3,356.62,352.18,Air
2022-10-10 00:00:00,2022-12-10 00:00:00,London,Frankfurt,2,1308.3,321.67,505.97,Air
10/24/22,10/26/22,Manchester,Paris,2,1182.04,290.63,414.15,Air
5/15/23,5/16/23,Manchester,Paris,2,1182.04,322.2,161.97,Air
7/17/23,7/17/23,London,Frankfurt,1,620.88,169.24,457.12,Air
2023-01-06 00:00:00,2023-01-06 00:00:00,Frankfurt,London,1,620.88,169.24,193.47,Air
2023-09-02 00:00:00,2023-09-02 00:00:00,Frankfurt,London,1,654.15,178.31,167.5,Air
10/22/23,10/22/23,London,Frankfurt,1,654.15,178.31,252.98,Air
10/14/23,10/14/23,Frankfurt,London,1,654.15,178.31,345.52,Air
6/27/23,6/29/23,London,Frankfurt,2,1241.76,338.48,372.82,Air
2/23/23,2/23/23,Frankfurt,London,1,654.15,178.31,168.9,Air
2023-01-11 00:00:00,2023-01-11 00:00:00,Frankfurt,London,1,620.88,169.24,184.8,Air
8/22/23,8/23/23,London,Frankfurt,2,1308.3,356.62,287.78,Air
7/31/23,2023-02-08 00:00:00,London,Frankfurt,2,1241.76,338.48,345.02,Air
2023-04-09 00:00:00,2023-07-09 00:00:00,London,Frankfurt,2,1241.76,338.48,373.12,Air
9/20/23,9/21/23,London,Frankfurt,2,1241.76,338.48,468.32,Air
2023-02-10 00:00:00,2023-05-10 00:00:00,London,Frankfurt,2,1241.76,338.48,289.62,Air
3/23/23,3/23/23,Frankfurt,London,1,654.15,178.31,167.1,Air
2023-04-10 00:00:00,2023-04-10 00:00:00,Frankfurt,London,1,620.88,169.24,214.6,Air
2023-09-03 00:00:00,2023-09-03 00:00:00,Frankfurt,London,1,620.88,169.24,217.3,Air
12/15/23,12/15/23,Frankfurt,London,1,620.88,169.24,212.0,Air
2023-03-03 00:00:00,2023-03-03 00:00:00,Frankfurt,London,1,654.15,178.31,167.3,Air
6/20/23,6/22/23,London,Frankfurt,2,1241.76,338.48,562.02,Air
2023-05-07 00:00:00,2023-07-07 00:00:00,London,Frankfurt,2,1308.3,356.62,262.58,Air
2023-03-04 00:00:00,2023-03-04 00:00:00,London,Frankfurt,1,620.88,169.24,249.12,Air
2023-11-04 00:00:00,4/14/23,London,Frankfurt,2,1241.76,338.48,346.22,Air
2023-02-05 00:00:00,2023-05-05 00:00:00,London,Frankfurt,2,1241.76,338.48,374.72,Air
8/16/23,8/16/23,Frankfurt,London,1,620.88,169.24,243.4,Air
2/16/23,2/16/23,Frankfurt,London,1,620.88,169.24,218.9,Air
7/21/23,7/21/23,Frankfurt,London,1,620.88,169.24,242.1,Air
4/18/23,4/27/23,London,Frankfurt,2,1241.76,338.48,234.32,Air
3/31/23,3/31/23,Frankfurt,London,1,620.88,169.24,248.4,Air
3/20/23,3/20/23,London,Frankfurt,1,654.15,178.31,214.58,Air
2023-05-06 00:00:00,2023-09-06 00:00:00,London,Frankfurt,2,1241.76,338.48,317.32,Air
8/15/23,8/15/23,London,Frankfurt,1,620.88,169.24,219.12,Air
12/18/23,12/19/23,London,Frankfurt,2,1241.76,338.48,562.32,Air
2023-12-06 00:00:00,6/15/23,London,Frankfurt,2,1241.76,338.48,429.22,Air
11/13/23,11/15/23,London,Frankfurt,2,1241.76,338.48,345.82,Air
2023-06-03 00:00:00,2023-06-03 00:00:00,London,Frankfurt,1,620.88,169.24,215.46,Air
10/16/23,10/16/23,London,Frankfurt,1,620.88,169.24,219.12,Air
2/27/23,2/27/23,London,Frankfurt,1,654.15,178.31,197.68,Air
5/15/23,5/19/23,London,Frankfurt,2,1241.76,338.48,373.82,Air
10/20/23,10/20/23,Frankfurt,London,1,620.88,169.24,243.4,Air
10/18/23,10/18/23,London,Frankfurt,1,620.88,169.24,323.12,Air
9/25/23,9/28/23,London,Frankfurt,2,1241.76,338.48,457.42,Air
3/28/23,3/28/23,London,Frankfurt,1,620.88,169.24,157.12,Air
2/15/23,2/15/23,London,Frankfurt,1,620.88,169.24,124.46,Air
2023-06-04 00:00:00,2023-06-04 00:00:00,Frankfurt,London,1,620.88,169.24,247.3,Air
2023-08-08 00:00:00,2023-09-08 00:00:00,London,Frankfurt,2,1308.3,356.62,269.88,Air
2023-08-02 00:00:00,2023-08-02 00:00:00,London,Frankfurt,1,654.15,178.31,178.18,Air
2/21/23,2/21/23,London,Frankfurt,1,654.15,178.31,197.68,Air
2023-07-11 00:00:00,2023-09-11 00:00:00,London,Frankfurt,2,1241.76,338.48,429.82,Air
9/13/23,9/15/23,Manchester,Paris,2,1182.04,322.2,168.24,Air
2022-05-09 00:00:00,2022-09-09 00:00:00,London,Frankfurt,2,1308.3,321.67,573.37,Air
2/16/23,2/16/23,Frankfurt,London,1,654.15,178.31,650.98,Air
8/30/22,2022-01-09 00:00:00,London,Frankfurt,2,1308.3,321.67,468.77,Air
2/27/23,2023-03-03 00:00:00,London,Frankfurt,2,1308.3,356.62,247.38,Air
2023-06-02 00:00:00,2023-10-02 00:00:00,London,Frankfurt,2,1308.3,356.62,268.28,Air
2022-02-12 00:00:00,2022-02-12 00:00:00,Frankfurt,London,1,654.15,160.84,489.97,Air
2/20/23,2/24/23,London,Frankfurt,2,1308.3,356.62,268.28,Air
11/20/23,11/24/23,London,Frankfurt,2,1308.3,356.62,218.08,Air
