Origin City,Destination City,Routing,Segment Count,Distance,CO2 Emission,Air Expense,Road Distance,Origin Country,Destination Country,Travel Type,Train_CO2 Emission,Regular Taxi CO2 Emission,Black Cab CO2 Emission,Coach Bus CO2 Emission,Projected_Transport,Projected_CO2,CO2_Savings,CO2_Savings_Percent
Dublin,Zagreb,Dublin - Zagreb,1,1812.81,273.77,273.0,2283.752,Éire / Ireland,Hrvatska,International rail,10.183250168,339.39980348,465.9425018,62.074663111999996,Train,10.183250168,263.586749832,96.28036301713118
Dublin,Zagreb,Dublin - Zagreb,1,1812.81,273.77,273.0,2283.752,Éire / Ireland,Hrvatska,International rail,10.183250168,339.39980348,465.9425018,62.074663111999996,Train,10.183250168,263.586749832,96.28036301713118
Dublin,Zagreb,Dublin - Zagreb,1,1812.81,273.77,195.4,2283.752,Éire / Ireland,Hrvatska,International rail,10.183250168,339.39980348,465.9425018,62.074663111999996,Train,10.183250168,263.586749832,96.28036301713118
Zagreb,London,Zagreb - London,1,1368.76,206.71,232.4,1655.634,Hrvatska,United Kingdom,International rail,7.382472006,246.05204691,337.79072685,45.001787754,Train,7.382472006,199.327527994,96.42858497121571
Zagreb,Dublin,Zagreb - Dublin,1,1812.81,273.77,229.5,2243.155,Hrvatska,Éire / Ireland,International rail,10.002228145000002,333.366480325,457.65969887500006,60.97119605500001,Train,10.002228145000002,263.767771855,96.34648495269752
Dublin,Zagreb,Dublin - Zagreb,1,1812.81,273.77,310.5,2283.752,Éire / Ireland,Hrvatska,International rail,10.183250168,339.39980348,465.9425018,62.074663111999996,Train,10.183250168,263.586749832,96.28036301713118
London,Ljubljana,London - Ljubljana,1,1234.62,279.67,168.62,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,272.70295518800003,97.50883369256624
London,Warsaw,London - Warsaw,1,1470.38,222.06,100.27,1652.692,United Kingdom,Polska,International rail,7.369353628000001,245.61482157999998,337.19048530000003,44.921821252,Train,7.369353628000001,214.690646372,96.68136826623434
London,Warsaw,London - Warsaw,1,1470.38,222.06,130.27,1652.692,United Kingdom,Polska,International rail,7.369353628000001,245.61482157999998,337.19048530000003,44.921821252,Train,7.369353628000001,214.690646372,96.68136826623434
Warsaw,London,Warsaw - London,1,1470.38,222.06,134.1,1637.339,Polska,United Kingdom,International rail,7.300894601,243.33313548499999,334.05808947500003,44.504511359,Train,7.300894601,214.759105399,96.71219733360353
Warsaw,London,Warsaw - London,1,1470.38,222.06,102.1,1637.339,Polska,United Kingdom,International rail,7.300894601,243.33313548499999,334.05808947500003,44.504511359,Train,7.300894601,214.759105399,96.71219733360353
London,Zagreb,London - Zagreb,1,1368.76,206.71,116.57,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,199.11762502800002,96.32704031154759
Toronto,London,Toronto - London,1,5745.33,2463.71,1084.3,,Canada,United Kingdom,International rail,,,,,Train,,,
"Venice, Venezia",Manchester,"Venice, Venezia - Manchester",1,1368.14,206.62,78.0,1847.546,Italia,United Kingdom,International rail,8.238207614,274.57304879000003,376.94557265000003,50.218147826,Train,8.238207614,198.381792386,96.01287018972026
"Venice, Venezia",Manchester,"Venice, Venezia - Manchester",1,1368.14,206.62,120.0,1847.546,Italia,United Kingdom,International rail,8.238207614,274.57304879000003,376.94557265000003,50.218147826,Train,8.238207614,198.381792386,96.01287018972026
"Venice, Venezia",Manchester,"Venice, Venezia - Manchester",1,1368.14,206.62,31.0,1847.546,Italia,United Kingdom,International rail,8.238207614,274.57304879000003,376.94557265000003,50.218147826,Train,8.238207614,198.381792386,96.01287018972026
Paris,Toronto,Paris - Toronto,1,6026.83,2584.43,972.6,,France,Canada,International rail,,,,,Train,,,
Paris,Toronto,Paris - Toronto,1,6026.83,2584.43,1242.6,,France,Canada,International rail,,,,,Train,,,
Paris,Toronto,Paris - Toronto,1,6026.83,2584.43,1242.6,,France,Canada,International rail,,,,,Train,,,
Paris,Toronto,Paris - Toronto,1,6026.83,2584.43,1242.6,,France,Canada,International rail,,,,,Train,,,
London,Toronto,London - Toronto,1,5745.33,849.56,510.98,,United Kingdom,Canada,International rail,,,,,Train,,,
Toronto,London,Toronto - London,1,5712.65,844.73,582.0,,Canada,United Kingdom,International rail,,,,,Train,,,
Frankfurt,Edinburgh,Frankfurt - Edinburgh,1,1032.17,233.81,829.5,1401.617,Deutschland,United Kingdom,International rail,6.249810203,208.301310455,285.96490842500003,38.097351677,Train,6.249810203,227.560189797,97.32697053034515
London,Zagreb,London - Zagreb,1,1368.76,206.71,191.57,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,199.11762502800002,96.32704031154759
Toronto,London,Toronto - London,1,5745.33,1359.29,961.6,,Canada,United Kingdom,International rail,,,,,Train,,,
London,Toronto,London - Toronto,1,5745.33,849.56,470.98,,United Kingdom,Canada,International rail,,,,,Train,,,
Frankfurt,Edinburgh,Frankfurt - Edinburgh,1,1032.17,233.81,795.25,1401.617,Deutschland,United Kingdom,International rail,6.249810203,208.301310455,285.96490842500003,38.097351677,Train,6.249810203,227.560189797,97.32697053034515
Edinburgh,Frankfurt,Edinburgh - Frankfurt,1,1032.17,233.81,761.95,1400.205,United Kingdom,Deutschland,International rail,6.243514095,208.09146607499997,285.676825125,38.058972104999995,Train,6.243514095,227.566485905,97.32966336127625
"Venice, Venezia",Manchester,"Venice, Venezia - Manchester",1,1368.14,210.05,44.85,1847.546,Italia,United Kingdom,International rail,8.238207614,274.57304879000003,376.94557265000003,50.218147826,Train,8.238207614,201.811792386,96.07797780814091
London,Zagreb,London - Zagreb,1,1368.76,206.71,351.57,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,199.11762502800002,96.32704031154759
"Copenhagen, København",Bristol,"Copenhagen, København - Bristol",1,1117.63,204.38,129.5,1453.98,Danmark,United Kingdom,International rail,6.4832968200000005,216.0832377,296.6482695,39.52063038,Train,6.4832968200000005,197.89670318,96.82782228202369
"Copenhagen, København",Bristol,"Copenhagen, København - Bristol",1,1117.63,204.38,129.5,1453.98,Danmark,United Kingdom,International rail,6.4832968200000005,216.0832377,296.6482695,39.52063038,Train,6.4832968200000005,197.89670318,96.82782228202369
Cork,Frankfurt,Cork - Frankfurt,1,1210.24,221.32,222.1,1486.494,Éire / Ireland,Deutschland,International rail,6.628276746,220.91530580999998,303.28193835,40.404393414,Train,6.628276746,214.69172325399998,97.00511623621905
Bristol,"Venice, Venezia","Bristol - Venice, Venezia",1,1285.91,235.15,115.99,1712.837,United Kingdom,Italia,International rail,7.6375401830000005,254.553270755,349.461568925,46.556622497,Train,7.6375401830000005,227.512459817,96.75205605655964
Bristol,"Venice, Venezia","Bristol - Venice, Venezia",1,1285.91,235.15,115.99,1712.837,United Kingdom,Italia,International rail,7.6375401830000005,254.553270755,349.461568925,46.556622497,Train,7.6375401830000005,227.512459817,96.75205605655964
Frankfurt,Birmingham,Frankfurt - Birmingham,1,765.28,208.6,423.71,967.176,Deutschland,United Kingdom,International rail,4.3126377840000005,143.73686124,197.32808340000003,26.288810856,Train,4.3126377840000005,204.287362216,97.93258016107383
Ljubljana,London,Ljubljana - London,1,1234.62,225.77,370.9,1555.635,Slovenija,United Kingdom,International rail,6.936576465000001,231.190695525,317.38843087500004,42.283714935,Train,6.936576465000001,218.833423535,96.92759159099968
Manchester,Munich,Manchester - Munich,1,1131.7,206.95,181.48,1474.48,United Kingdom,Deutschland,International rail,6.574706320000001,219.1298452,300.830782,40.077840880000004,Train,6.574706320000001,200.37529368,96.82304599178546
London,Toronto,London - Toronto,1,5745.33,3333.96,930.12,,United Kingdom,Canada,International rail,,,,,Train,,,
Ljubljana,London,Ljubljana - London,1,1234.62,225.77,54.4,1555.635,Slovenija,United Kingdom,International rail,6.936576465000001,231.190695525,317.38843087500004,42.283714935,Train,6.936576465000001,218.833423535,96.92759159099968
Ljubljana,London,Ljubljana - London,1,1234.62,225.77,54.5,1555.635,Slovenija,United Kingdom,International rail,6.936576465000001,231.190695525,317.38843087500004,42.283714935,Train,6.936576465000001,218.833423535,96.92759159099968
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,31.45,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Ljubljana,London,Ljubljana - London,1,1234.62,225.77,124.9,1555.635,Slovenija,United Kingdom,International rail,6.936576465000001,231.190695525,317.38843087500004,42.283714935,Train,6.936576465000001,218.833423535,96.92759159099968
Manchester,Malaga,Manchester - Malaga,1,1865.65,341.17,154.98,2578.57,United Kingdom,España,International rail,11.497843630000002,383.21418055000004,526.09274425,70.08811117,Train,11.497843630000002,329.67215637000004,96.62987846821234
Manchester,Malaga,Manchester - Malaga,1,1865.65,341.17,154.98,2578.57,United Kingdom,España,International rail,11.497843630000002,383.21418055000004,526.09274425,70.08811117,Train,11.497843630000002,329.67215637000004,96.62987846821234
Malaga,Manchester,Malaga - Manchester,1,1865.65,341.17,175.0,2564.514,España,United Kingdom,International rail,11.435167926000002,381.12524811000003,523.2249688500001,69.706055034,Train,11.435167926000002,329.734832074,96.64824928158981
Malaga,Manchester,Malaga - Manchester,1,1865.65,341.17,175.0,2564.514,España,United Kingdom,International rail,11.435167926000002,381.12524811000003,523.2249688500001,69.706055034,Train,11.435167926000002,329.734832074,96.64824928158981
Zagreb,London,Zagreb - London,1,1368.76,250.3,226.2,1655.634,Hrvatska,United Kingdom,International rail,7.382472006,246.05204691,337.79072685,45.001787754,Train,7.382472006,242.917527994,97.05055053695565
Ljubljana,London,Ljubljana - London,1,1234.62,225.77,260.3,1555.635,Slovenija,United Kingdom,International rail,6.936576465000001,231.190695525,317.38843087500004,42.283714935,Train,6.936576465000001,218.833423535,96.92759159099968
Bristol,Bordeaux,Bristol - Bordeaux,1,744.43,202.92,83.48,1228.93,United Kingdom,France,International rail,5.479798870000001,182.63743195,250.73244325000002,33.403546330000005,Train,5.479798870000001,197.44020113,97.29952746402523
Frankfurt,Bucharest,Frankfurt - Bucharest,1,1450.63,265.28,259.9,1789.333,Deutschland,România,International rail,7.9786358470000005,265.921723795,365.06866532500004,48.635860273000006,Train,7.9786358470000005,257.30136415299995,96.99237189120929
Ljubljana,London,Ljubljana - London,1,1247.98,228.22,24.41,1555.635,Slovenija,United Kingdom,International rail,6.936576465000001,231.190695525,317.38843087500004,42.283714935,Train,6.936576465000001,221.283423535,96.9605746801332
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,109.61,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Bucharest,Frankfurt,Bucharest - Frankfurt,1,1450.63,265.28,316.0,1791.727,România,Deutschland,International rail,7.989310693000001,266.277508105,365.557101175,48.700931587,Train,7.989310693000001,257.290689307,96.98834789920085
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,100.47,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Bucharest,Frankfurt,Bucharest - Frankfurt,1,1450.63,265.28,203.7,1791.727,România,Deutschland,International rail,7.989310693000001,266.277508105,365.557101175,48.700931587,Train,7.989310693000001,257.290689307,96.98834789920085
Bristol,Barcelona,Bristol - Barcelona,1,1180.35,215.85,106.48,1691.733,United Kingdom,España,International rail,7.5434374470000005,251.41689979499998,345.155825325,45.982994673,Train,7.5434374470000005,208.306562553,96.50524093259207
Manchester,Barcelona,Manchester - Barcelona,1,1381.37,252.61,74.99,1826.663,United Kingdom,España,International rail,8.145090317000001,271.469521745,372.68491857500004,49.650527003,Train,8.145090317000001,244.464909683,96.77562633427021
Barcelona,Frankfurt,Barcelona - Frankfurt,1,1096.05,200.43,309.1,1328.83,España,Deutschland,International rail,5.92525297,197.48407045,271.11454075,36.11892823,Train,5.92525297,194.50474703,97.04372949658234
Barcelona,London,Barcelona - London,1,1148.2,209.97,178.8,1489.034,España,United Kingdom,International rail,6.639602606000001,221.29278791000002,303.80016185000005,40.473433154000006,Train,6.639602606000001,203.330397394,96.83783273515265
Casablanca,London,Casablanca - London,1,2069.59,378.47,246.4,2763.579,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,United Kingdom,International rail,12.322798761000001,410.709293085,563.8392054750001,75.116840799,Train,12.322798761000001,366.147201239,96.74404873279256
Frankfurt,Edinburgh,Frankfurt - Edinburgh,1,1032.17,283.12,703.01,1401.617,Deutschland,United Kingdom,International rail,6.249810203,208.301310455,285.96490842500003,38.097351677,Train,6.249810203,276.870189797,97.79252253355469
London,Casablanca,London - Casablanca,1,2069.59,378.47,173.87,2773.394,United Kingdom,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,International rail,12.366563846,412.16794931,565.84171085,75.383622314,Train,12.366563846,366.103436154,96.73248504610669
London,Zagreb,London - Zagreb,1,1368.76,250.3,337.68,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,242.70762502800002,96.96668998322015
Manchester,Milan,Manchester - Milan,1,1168.86,213.75,57.99,1589.03,United Kingdom,Italia,International rail,7.085484770000001,236.15369345,324.20184575,43.19142443,Train,7.085484770000001,206.66451523,96.6851533239766
London,Zagreb,London - Zagreb,1,1368.76,250.3,117.48,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,242.70762502800002,96.96668998322015
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,73.07,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Frankfurt,Edinburgh,Frankfurt - Edinburgh,1,1032.17,283.12,826.01,1401.617,Deutschland,United Kingdom,International rail,6.249810203,208.301310455,285.96490842500003,38.097351677,Train,6.249810203,276.870189797,97.79252253355469
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,45.66,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Frankfurt,Bucharest,Frankfurt - Bucharest,1,1450.63,265.28,212.7,1789.333,Deutschland,România,International rail,7.9786358470000005,265.921723795,365.06866532500004,48.635860273000006,Train,7.9786358470000005,257.30136415299995,96.99237189120929
